e_address_acpi_nfit_memory_map_1009 address acpi_nfit_memory_map 0 1009 NULL
e_assoc_req_len_wmi_connect_event_1014 assoc_req_len wmi_connect_event 0 1014 NULL
e_s_last_cno_nilfs_super_block_1016 s_last_cno nilfs_super_block 0 1016 NULL
e_i2c_smbus_check_pec_fndecl_1018 i2c_smbus_check_pec fndecl 0 1018 NULL
e_nvram_size_chip_desc_1022 nvram_size chip_desc 0 1022 NULL
e_len_wcn36xx_hal_msg_header_1023 len wcn36xx_hal_msg_header 0 1023 NULL
e___generic_copy_to_user_intel_fndecl_1029 __generic_copy_to_user_intel fndecl 0 1029 NULL
e_dlm_len_mt76_fw_header_1030 dlm_len mt76_fw_header 0 1030 NULL
e_pci_scan_single_device_fndecl_1034 pci_scan_single_device fndecl 2 1034 NULL
e_wq_ecount_lpfc_sli4_hba_1039 wq_ecount lpfc_sli4_hba 0 1039 NULL
e_write_dir_fndecl_1040 write_dir fndecl 3 1040 NULL
e_page_shift_mlx5_buf_1041 page_shift mlx5_buf 0 1041 NULL nohasharray
e_ssb_admatch_size_fndecl_1041 ssb_admatch_size fndecl 0-1 1041 &e_page_shift_mlx5_buf_1041
e_iv_len_txentry_desc_1042 iv_len txentry_desc 0 1042 NULL nohasharray
e_address_length_acpi_resource_fixed_io_1042 address_length acpi_resource_fixed_io 0 1042 &e_iv_len_txentry_desc_1042
e_vnic_dev_get_res_count_fndecl_1044 vnic_dev_get_res_count fndecl 0 1044 NULL
e_registers_gen_74x164_chip_1049 registers gen_74x164_chip 0 1049 NULL nohasharray
e_read_data_done_iscsi_datain_req_1049 read_data_done iscsi_datain_req 0 1049 &e_registers_gen_74x164_chip_1049
e_bfad_iocmd_iocfc_set_intr_fndecl_1050 bfad_iocmd_iocfc_set_intr fndecl 0 1050 NULL
e_amdgpu_cgs_alloc_gpu_mem_fndecl_1052 amdgpu_cgs_alloc_gpu_mem fndecl 3 1052 NULL nohasharray
e_m5602_urb_complete_fndecl_1052 m5602_urb_complete fndecl 3 1052 &e_amdgpu_cgs_alloc_gpu_mem_fndecl_1052
e_nentries_ebt_replace_1059 nentries ebt_replace 0 1059 NULL
e_ch_r_tail_jsm_channel_1063 ch_r_tail jsm_channel 0 1063 NULL
e_data_ep_set_params_fndecl_1064 data_ep_set_params fndecl 3-4 1064 NULL
e_cw_clear_fndecl_1066 cw_clear fndecl 4-5-3-6 1066 NULL
e_tcp_scalable_cong_avoid_fndecl_1067 tcp_scalable_cong_avoid fndecl 3 1067 NULL nohasharray
e_len_left_brcmf_sdio_hdrinfo_1067 len_left brcmf_sdio_hdrinfo 0 1067 &e_tcp_scalable_cong_avoid_fndecl_1067
e_line__mgslpc_info_1070 line _mgslpc_info 0 1070 NULL nohasharray
e_i_dno_hpfs_inode_info_1070 i_dno hpfs_inode_info 0 1070 &e_line__mgslpc_info_1070
e_num_min_snd_ratden_1071 num_min snd_ratden 0 1071 NULL
e_private_data_len_iw_cm_conn_param_1076 private_data_len iw_cm_conn_param 0 1076 NULL
e_enable_clk_ops_1078 enable clk_ops 0 1078 NULL
